,Word,Freq,Unnamed: 2,Unnamed: 3
20,have*,;4735,,
1721,funds,;62,,
1724,shape,;62,,
1735,light,;62,,
1737,quiet,;62,,
1751,pound,;61,,
1753,raise,;61,,
1757,Paris,;61,,
1762,ought,;61,,
1765,noted,;61,,
1766,equal,;61,,
1770,homes,;61,,
1780,walls,;60,,
1781,talks,;60,,
1788,offer,;60,,
1799,X / x,;59,,
1815,T / t,;59,,
1818,Irish,;59,,
1839,cause,;58,,
1840,break,;58,,
1855,sites,;58,,
1857,quick,;58,,
1865,prove,;57,,
1876,notes,;57,,
1877,track,;57,,
1895,birds,;57,,
1907,route,;56,,
1909,liked,;56,,
1917,occur,;56,,
1927,under,;56,,
1938,rooms,;55,,
1941,Jesus,;55,,
1943,daily,;55,,
1944,below,;55,,
1965,exist,;54,,
1966,check,;54,,
1967,alone,;54,,
1979,urban,;54,,
1984,youth,;54,,
1995,empty,;54,,
2003,lunch,;54,,
2007,upper,;54,,
2009,share,;54,,
2012,North,;54,,
2017,drugs,;53,,
2020,I / i,;53,,
2026,serve,;53,,
2035,R / r,;53,,
2041,enter,;53,,
2047,waste,;53,,
2048,facts,;53,,
2051,shook,;53,,
2057,faith,;52,,
2058,shops,;52,,
2062,moral,;52,,
2066,heads,;52,,
2072,birth,;52,,
2077,broke,;52,,
2086,entry,;52,,
2091,crown,;51,,
2106,vital,;51,,
2109,hoped,;51,,
2110,Italy,;51,,
2120,total,;51,,
2130,visit,;50,,
2131,V / v,;50,,
2148,tests,;50,,
2149,owner,;50,,
2174,wider,;49,,
2178,broad,;49,,
2189,drink,;49,,
2195,clean,;48,,
2199,Leeds,;48,,
2212,doors,;48,,
2221,hence,;48,,
2235,teeth,;47,,
2236,brain,;47,,
2238,brief,;47,,
2239,signs,;47,,
2242,cover,;47,,
2245,claim,;47,,
2249,goals,;47,,
2251,India,;47,,
2254,guide,;47,,
2255,drive,;47,,
2259,ideal,;47,,
2265,bound,;47,,
2268,kinds,;47,,
2270,worry,;47,,
2271,minor,;47,,
2272,seats,;47,,
2281,noise,;47,,
2288,M / m,;46,,
2295,thick,;46,,
2296,Jones,;46,,
2297,loved,;46,,
2298,metal,;46,,
2299,grand,;46,,
2302,phase,;46,,
2303,coast,;46,,
2305,China,;46,,
2314,lying,;46,,
2319,Harry,;46,,
2334,worst,;46,,
2344,H / h,;45,,
2345,adult,;45,,
2348,faced,;45,,
2352,index,;45,,
2355,O / o,;45,,
2363,sport,;45,,
2371,judge,;45,,
2374,brown,;45,,
2375,Brian,;45,,
2377,funny,;45,,
2388,inner,;45,,
2393,Chris,;45,,
2396,Spain,;45,,
2400,least,;45,,
2409,pages,;44,,
2414,sharp,;44,,
2417,drive,;44,,
2430,Roman,;44,,
2447,named,;44,,
2452,Steve,;43,,
2453,sixty,;43,,
2460,agent,;43,,
2464,badly,;43,,
2480,place,;43,,
2488,cross,;43,,
2490,grown,;43,,
2491,crowd,;43,,
2493,N / n,;43,,
2496,Simon,;43,,
2497,argue,;43,,
2504,catch,;43,,
2507,tears,;43,,
2508,alive,;43,,
2512,begun,;42,,
2515,yours,;42,,
2522,angry,;42,,
2535,sheet,;42,,
2543,motor,;42,,
2544,shock,;42,,
2550,close,;42,,
2553,dress,;42,,
2559,grass,;41,,
2575,fruit,;41,,
2580,towns,;41,,
2581,lucky,;41,,
2585,touch,;41,,
2587,Major,;41,,
2606,plate,;41,,
2615,G / g,;40,,
2624,a lot,;40,,
2634,tired,;40,,
2651,fight,;40,,
2684,sleep,;39,,
2686,teams,;39,,
2690,stars,;39,,
2700,cheap,;39,,
2709,cards,;39,,
2710,roads,;39,,
2724,grant,;39,,
2738,theme,;39,,
2744,F / f,;38,,
2748,error,;38,,
2750,dream,;38,,
2763,hello,;38,,
2768,1980s,;38,,
2769,chest,;38,,
2771,refer,;38,,
2774,Brown,;38,,
2775,beach,;38,,
2781,focus,;38,,
2785,clubs,;38,,
2794,bread,;38,,
2795,admit,;38,,
2796,chief,;38,,
2799,Lewis,;37,,
2805,Welsh,;37,,
2813,Frank,;37,,
2816,steel,;37,,
2818,leads,;37,,
2831,wages,;37,,
2832,tasks,;37,,
2840,panel,;37,,
2847,yards,;37,,
2852,chain,;37,,
2856,tells,;37,,
2860,armed,;37,,
2862,sleep,;37,,
2867,shoes,;37,,
2871,drove,;37,,
2888,false,;36,,
2899,sugar,;36,,
2901,block,;36,,
2918,aside,;36,,
2921,store,;36,,
2923,break,;36,,
2930,rapid,;36,,
2937,fixed,;36,,
2940,aimed,;36,,
2941,owned,;36,,
2947,drama,;36,,
2958,uncle,;35,,
2969,fifth,;35,,
2970,links,;35,,
2975,solid,;35,,
2978,apart,;35,,
2983,skill,;35,,
2984,close,;35,,
2987,dealt,;35,,
2999,films,;35,,
3009,round,;35,,
3012,Sarah,;35,,
3024,taste,;34,,
3027,plane,;34,,
3028,scope,;34,,
3045,fault,;34,,
3048,1970s,;34,,
3049,enemy,;34,,
3058,Nigel,;34,,
3059,rough,;34,,
3072,limit,;34,,
3077,abuse,;34,,
3080,tower,;34,,
3082,anger,;33,,
3087,need*,;33,,
3094,sweet,;33,,
3127,arise,;33,,
3129,point,;33,,
3136,faces,;33,,
3158,feels,;33,,
3183,costs,;32,,
3188,input,;32,,
3194,tough,;32,,
3196,saved,;32,,
3201,truly,;32,,
3202,drink,;32,,
3203,turns,;32,,
3210,tools,;32,,
3211,cycle,;32,,
3215,Scott,;32,,
3229,nurse,;32,,
3230,frame,;32,,
3235,proud,;32,,
3240,pilot,;31,,
3241,calls,;31,,
3244,given,;31,,
3248,votes,;31,,
3264,cream,;31,,
3280,fewer,;31,,
3285,throw,;31,,
3290,awful,;31,,
3293,threw,;31,,
3298,hills,;31,,
3299,prize,;31,,
3302,L / l,;31,,
3318,novel,;31,,
3325,depth,;30,,
3326,calls,;30,,
3329,bills,;30,,
3332,reply,;30,,
3335,treat,;30,,
3336,green,;30,,
3337,sheep,;30,,
3356,study,;30,,
3357,1960s,;30,,
3375,cried,;30,,
3384,Sept.,;30,,
3385,et al,;30,,
3386,sound,;30,,
3389,dance,;30,,
3391,sorts,;30,,
3413,press,;29,,
3419,files,;29,,
3434,Y / y,;29,,
3462,fight,;29,,
3466,Greek,;29,,
3468,still,;29,,
3469,rocks,;29,,
3486,plain,;29,,
3488,watch,;29,,
3490,since,;29,,
3501,finds,;29,,
3510,ratio,;29,,
3511,coach,;29,,
3512,fears,;29,,
3520,smoke,;29,,
3521,rugby,;29,,
3522,songs,;29,,
3523,clock,;29,,
3530,fixed,;28,,
3531,helps,;28,,
3535,chose,;28,,
3544,minds,;28,,
3545,Keith,;28,,
3546,marks,;28,,
3547,trust,;28,,
3551,White,;28,,
3555,steam,;28,,
3557,silly,;28,,
3559,teach,;28,,
3561,unity,;28,,
3574,taxes,;28,,
3583,shirt,;28,,
3591,round,;28,,
3604,final,;28,,
3605,being,;28,,
3616,roles,;28,,
3629,score,;27,,
3632,loans,;27,,
3636,dozen,;27,,
3637,pride,;27,,
3639,newly,;27,,
3649,Helen,;27,,
3656,buyer,;27,,
3660,match,;27,,
3662,ships,;27,,
3667,waves,;27,,
3674,knife,;27,,
3683,proof,;27,,
3684,marry,;27,,
3688,lives,;27,,
3693,pitch,;27,,
3698,boxes,;27,,
3699,holes,;27,,
3710,above,;27,,
3719,apple,;27,,
3721,dirty,;26,,
3739,holds,;26,,
3750,trend,;26,,
3762,loose,;26,,
3763,state,;26,,
3775,blind,;26,,
3795,knees,;26,,
3797,boots,;26,,
3798,smell,;26,,
3800,mummy,;26,,
3805,Roger,;26,,
3808,keeps,;26,,
3809,wheel,;26,,
3815,touch,;26,,
3818,shift,;26,,
3819,draft,;26,,
3838,Laura,;25,,
3840,squad,;25,,
3848,flesh,;25,,
3854,split,;25,,
3855,sixth,;25,,
3861,Terry,;25,,
3886,K / k,;25,,
3891,level,;25,,
3894,roots,;25,,
3900,stick,;25,,
3904,layer,;25,,
3908,risks,;25,,
3914,curve,;25,,
3917,adopt,;25,,
3919,guard,;25,,
3933,Colin,;25,,
3937,Alice,;25,,
3946,good*,;25,,
3956,outer,;24,,
3957,topic,;24,,
3961,tends,;24,,
3962,hopes,;24,,
3963,angle,;24,,
3986,guess,;24,,
4012,Jimmy,;24,,
4015,wings,;24,,
4023,clear,;24,,
4026,meals,;24,,
4029,ruled,;24,,
4062,plays,;24,,
4066,texts,;23,,
4084,tight,;23,,
4088,Kevin,;23,,
4102,opera,;23,,
4103,pupil,;23,,
4116,blame,;23,,
4118,mixed,;23,,
4120,guest,;23,,
4124,Dutch,;23,,
4127,Lloyd,;23,,
4129,Diana,;23,,
4131,logic,;23,,
4132,Essex,;23,,
4133,acute,;23,,
4137,voted,;23,,
4143,Grant,;23,,
4145,acted,;23,,
4146,delay,;23,,
4147,valid,;23,,
4167,habit,;23,,
4173,bones,;23,,
4174,cross,;23,,
4183,urged,;23,,
4185,storm,;23,,
4190,gross,;23,,
4203,stuck,;22,,
4210,males,;22,,
4221,paint,;22,,
4235,posts,;22,,
4248,Latin,;22,,
4250,Egypt,;22,,
4251,exact,;22,,
4265,daddy,;22,,
4291,audit,;22,,
4293,Billy,;22,,
4295,lists,;22,,
4297,Great,;22,,
4302,album,;22,,
4313,leave,;22,,
4328,force,;22,,
4331,falls,;22,,
4335,canal,;21,,
4350,focus,;21,,
4352,Maria,;21,,
4358,mayor,;21,,
4360,Clare,;21,,
4361,worth,;21,,
4368,count,;21,,
4370,Young,;21,,
4375,Kelly,;21,,
4383,doubt,;21,,
4384,crash,;21,,
4387,Louis,;21,,
4396,print,;21,,
4398,laugh,;21,,
4426,pairs,;21,,
4429,lease,;21,,
4431,gains,;21,,
4441,foods,;21,,
4448,alarm,;21,,
4451,U / u,;21,,
4454,sheer,;21,,
4456,count,;21,,
4457,cloud,;21,,
4467,genes,;21,,
4487,likes,;21,,
4488,Susan,;21,,
4491,lands,;21,,
4493,swept,;21,,
4508,naked,;20,,
4513,asset,;20,,
4516,bands,;20,,
4532,actor,;20,,
4559,craft,;20,,
4562,plans,;20,,
4568,diary,;20,,
4570,ocean,;20,,
4590,bench,;20,,
4600,Baker,;20,,
4602,1950s,;20,,
4612,mixed,;20,,
4630,boats,;20,,
4645,judge,;20,,
4651,known,;20,,
4652,Emily,;20,,
4660,bible,;20,,
4664,moves,;20,,
4666,fired,;20,,
4669,Derek,;20,,
4677,cloth,;20,,
4684,Lords,;20,,
4685,shell,;20,,
4697,piano,;20,,
4713,clerk,;19,,
4723,gates,;19,,
4725,Robin,;19,,
4733,bonds,;19,,
4734,wives,;19,,
4737,solve,;19,,
4741,sadly,;19,,
4747,spare,;19,,
4754,grade,;19,,
4755,Korea,;19,,
4763,stake,;19,,
4768,asian,;19,,
4773,cheek,;19,,
4777,Moore,;19,,
4787,alter,;19,,
4788,shame,;19,,
4795,dates,;19,,
