jugador,inmigrante,gol,resultado
Deschacht Olivier,1.0,0.0,EMPATO
Christian Wilhelmsson,1.0,0.0,GANO
Shekiladze,0.0,1.0,PERDIO
Vega,0.0,0.0,EMPATO
Blind,1.0,0.0,PERDIO
Luciano Zauri,0.0,0.0,PERDIO
James Collins,1.0,0.0,EMPATO
Smertin,0.0,0.0,EMPATO
Mihalis Kapsis,0.0,0.0,PERDIO
Harutiunian,0.0,0.0,PERDIO
Malkhaz Asatiani,0.0,0.0,EMPATO
Kratochvl,1.0,0.0,GANO
Leon Andreasen,0.0,0.0,GANO
Rosen Kirilov,0.0,0.0,GANO
Kjetil Waehler,0.0,0.0,EMPATO
Josip Simunic,0.0,0.0,PERDIO
Silagadze,0.0,0.0,GANO
Ludovic Magnin,0.0,0.0,EMPATO
Kaiafas,0.0,0.0,GANO
Manuel Rui Costa,0.0,1.0,EMPATO
Anatoly Demianenko,0.0,0.0,PERDIO
Alban Bushaj,0.0,0.0,GANO
Ren Henriksen,0.0,0.0,PERDIO
Shtanyuk,0.0,0.0,PERDIO
Andrejs Prohorenkovs,0.0,0.0,PERDIO
Grosso Fabio,0.0,0.0,EMPATO
Rozehnal,0.0,0.0,EMPATO
Pulis Adrian,0.0,0.0,PERDIO
Heinrich,0.0,0.0,PERDIO
Tom Boyd,1.0,0.0,GANO
Hrabal,0.0,0.0,GANO
Ruslan Musayev,0.0,0.0,PERDIO
Rubins,0.0,0.0,PERDIO
Radoslav Kovac,1.0,0.0,GANO
Konstantin Vassiljev,0.0,0.0,GANO
Bruno Berner,0.0,0.0,EMPATO
Eduard Valuta,0.0,0.0,GANO
Jovanovski,0.0,0.0,EMPATO
Luis Miguel,1.0,0.0,GANO
Chris Hughton,1.0,0.0,GANO
Jurgen Kohler,0.0,0.0,PERDIO
Christos Germanou,0.0,0.0,PERDIO
Radoslav Kovac,0.0,0.0,GANO
Jan Eriksson,0.0,1.0,GANO
Darren Barnard,1.0,0.0,EMPATO
Blagonadezdins,0.0,0.0,EMPATO
Sonejee Masand,1.0,0.0,PERDIO
Ren Henriksen,0.0,0.0,EMPATO
Holtz,1.0,0.0,PERDIO
Vladimir Manchev,0.0,0.0,GANO
Gkhan Zan,0.0,0.0,GANO
Mato Neretljak,0.0,0.0,EMPATO
Volodymyr Yezerskiy,0.0,0.0,GANO
Sebastian Proedl,1.0,0.0,EMPATO
Ion Testemitanu,0.0,0.0,PERDIO
Augustn Aranzbal,0.0,0.0,EMPATO
Mizin,0.0,0.0,GANO
Stefn Gslason,0.0,0.0,PERDIO
Rio Ferdinand,1.0,0.0,PERDIO
Cfehr,0.0,0.0,GANO
Ragnar Sigurdsson,1.0,0.0,PERDIO
Duljaj Igor,1.0,0.0,EMPATO
Von Bergen,1.0,0.0,EMPATO
Yoann Gourcuff,0.0,0.0,PERDIO
Rolandas Dziaustas,0.0,0.0,PERDIO
Lukhvich,0.0,0.0,EMPATO
Frank Leboeuf,0.0,0.0,PERDIO
Ledley King,1.0,0.0,PERDIO
Dzutautas,0.0,0.0,GANO
Rosen Kirilov,0.0,0.0,EMPATO
Bostjan Cesar,0.0,0.0,PERDIO
James Collins,1.0,0.0,PERDIO
Zambrotta Gianluca,0.0,0.0,PERDIO
Torben Piechnik,0.0,0.0,EMPATO
Hyypi,0.0,0.0,PERDIO
Yves Oehri,1.0,0.0,EMPATO
Miodrag Belodedici,0.0,0.0,PERDIO
Kjetil Whler,0.0,0.0,EMPATO
Goce Sedloski,0.0,1.0,PERDIO
Edin Mujcin,1.0,0.0,PERDIO
Emin Imamaliev,1.0,1.0,GANO
Jorge Andrade,1.0,0.0,PERDIO
Sami Hyypia,1.0,0.0,EMPATO
Marek Jankulovski,1.0,1.0,GANO
Vasileios Torosidis,0.0,0.0,GANO
Bostjan Cesar,0.0,0.0,EMPATO
Cetin Servet,1.0,0.0,EMPATO
Andreas Constantinou,0.0,0.0,PERDIO
Geri Cipi,0.0,0.0,EMPATO
Goce Toleski,0.0,0.0,PERDIO
Yossi Benayoun,1.0,0.0,GANO
Claus Lundekvam,0.0,1.0,GANO
Kevin Horlock,1.0,0.0,EMPATO
Hubchev,0.0,0.0,PERDIO
Tal Ben Haim,1.0,0.0,GANO
Sainovski,1.0,0.0,EMPATO
Aleksandr Tadevosyan,0.0,0.0,GANO
Kpler Ferreira Pepe,1.0,0.0,PERDIO
Marko Suler,1.0,0.0,EMPATO
Kosowski Kamil,0.0,0.0,GANO
Bruno Berner,0.0,0.0,PERDIO
Goran Sabljic,0.0,0.0,EMPATO
Stuart Pearce,0.0,0.0,EMPATO
Ioakim,0.0,0.0,GANO
Simon Vella,0.0,0.0,PERDIO
Dzintars Zirnis,0.0,1.0,GANO
Carl Hoefkens,0.0,0.0,EMPATO
Belozoglu Emre,0.0,0.0,GANO
Sichinava,0.0,0.0,EMPATO
Petter Hansson,0.0,0.0,PERDIO
Jaap Stam,0.0,0.0,PERDIO
Demetris Daskalakis,0.0,0.0,GANO
Osterc,0.0,0.0,EMPATO
Ramin Guliyev,0.0,0.0,EMPATO
Southgate,0.0,0.0,PERDIO
Kenneth Scicluna,0.0,0.0,PERDIO
Sischin,1.0,0.0,EMPATO
Sergei Shtaniuk,1.0,0.0,PERDIO
Benado,1.0,0.0,PERDIO
Juanito Gutirrez,1.0,0.0,GANO
Tomer Benyosef,0.0,0.0,EMPATO
Geri Cipi,0.0,0.0,GANO
Victor Golovatenco,0.0,0.0,GANO
Marius Johnson,1.0,0.0,GANO
Sennikov Dmitri,0.0,0.0,EMPATO
Yan Tigorev,1.0,0.0,PERDIO
Olexandr Kucher,0.0,0.0,EMPATO
Revaz Kemoklidze,0.0,0.0,GANO
Juanito Gutirrez,1.0,0.0,EMPATO
Valachovic Jozef,1.0,0.0,GANO
J Hgh,0.0,0.0,GANO
Shulku,0.0,0.0,GANO
Jaager Enar,1.0,0.0,EMPATO
Suchancok,1.0,0.0,GANO
Ivica Krizanac,0.0,0.0,PERDIO
Mikhaylo Starostyak,0.0,0.0,EMPATO
Heinz Tim,1.0,0.0,PERDIO
Stoilov,1.0,0.0,GANO
Hjalmar Jonsson,1.0,0.0,PERDIO
Dimas,1.0,0.0,PERDIO
Spasoje Bulajic,1.0,0.0,EMPATO
Nenad Kovacevic,0.0,0.0,PERDIO
M Andresen,0.0,0.0,EMPATO
Dellas Traianos,0.0,0.0,EMPATO
Siadaczka,0.0,0.0,PERDIO
Dailly,1.0,0.0,EMPATO
Jhgh,0.0,0.0,PERDIO
Bruno Berner,0.0,0.0,GANO
Karen Dokhoyan,0.0,0.0,GANO
Eric Abidal,0.0,0.0,EMPATO
Horlock,1.0,0.0,EMPATO
Dmitri Kruglov,0.0,0.0,PERDIO
Emin Guliyev,0.0,0.0,PERDIO
Jacek Bak,0.0,0.0,PERDIO
Ghenadie Olexic,0.0,0.0,PERDIO
Roman Sharonov,0.0,0.0,GANO
Tomaschek,1.0,0.0,GANO
Semih Senturk,0.0,0.0,PERDIO
Cannavaro,0.0,0.0,EMPATO
Patrik Andersson,0.0,0.0,PERDIO
Aleksandre Kvakhadze,1.0,0.0,PERDIO
Dallku Armend,0.0,0.0,EMPATO
Marcelino,1.0,0.0,GANO
Anthony Vanden Borre,1.0,0.0,GANO
Michael Svensson,0.0,1.0,GANO
Kasapis,0.0,0.0,EMPATO
Peter Kopteff,1.0,0.0,EMPATO
Claudio Lombardelli,1.0,0.0,PERDIO
Senad Brkic,0.0,0.0,PERDIO
Dancia Cristian,0.0,0.0,EMPATO
Lakos,0.0,0.0,PERDIO
Bak,0.0,0.0,EMPATO
Zsolt Lw,0.0,0.0,GANO
Daniel Da Mota,1.0,0.0,PERDIO
Mario Melchiot,0.0,0.0,GANO
Woodgate,0.0,0.0,EMPATO
Jn Durica,0.0,0.0,EMPATO
Oguz,1.0,0.0,PERDIO
Blanc,0.0,1.0,GANO
Jurgen Klinsmann,0.0,0.0,EMPATO
Soren Busk,0.0,0.0,PERDIO
Jankulovski Marek,1.0,0.0,PERDIO
Azovskiy Maxim,1.0,0.0,EMPATO
Rosen Kirilov,0.0,0.0,PERDIO
Karel Rada,0.0,0.0,GANO
Patrick Mueller,1.0,0.0,EMPATO
Marek Spilr,1.0,0.0,PERDIO
Gojko Kacar,1.0,0.0,PERDIO
Barisic,1.0,0.0,PERDIO
Lambert,1.0,0.0,PERDIO
Toms Galsek,0.0,0.0,GANO
Dmitri Lentsevich,0.0,0.0,PERDIO
Juli Sanchez,1.0,0.0,PERDIO
Sedloski,0.0,0.0,GANO
Naidenov,0.0,0.0,PERDIO
Batty,0.0,0.0,GANO
Roman Hubnk,0.0,0.0,PERDIO
Cunningham,1.0,0.0,PERDIO
Nadal,0.0,0.0,PERDIO
Roman Kienast,0.0,0.0,EMPATO
Jabbarov,1.0,0.0,PERDIO
Fcouto,0.0,0.0,PERDIO
Tudor Igor,1.0,1.0,GANO
John O Shea,1.0,0.0,EMPATO
William Gallas,0.0,1.0,EMPATO
Kratochvil Roman,1.0,0.0,EMPATO
Spahic Emir,1.0,0.0,GANO
Gary Caldwell,1.0,0.0,EMPATO
Vedran Corluka,1.0,0.0,GANO
Hasler Daniel,1.0,1.0,EMPATO
Andreas Gerster,1.0,0.0,PERDIO
Opdam Barry,1.0,0.0,GANO
Gerrard Steven,1.0,0.0,GANO
Dorin Goian,0.0,1.0,EMPATO
Kratochvil Roman,1.0,0.0,GANO
Vardanyan Harutyun,1.0,0.0,EMPATO
Pressley Steven,1.0,0.0,GANO
Briffa Roderick,0.0,0.0,EMPATO
Smertin Alexei,0.0,0.0,GANO
Simon Vukcevic,1.0,0.0,GANO
Danny Gabbidon,1.0,0.0,PERDIO
Sahin Selcuk,0.0,0.0,EMPATO
Smicer Vladimir,0.0,0.0,GANO
Indridi Sigurdsson,1.0,0.0,PERDIO
Laizans Juris,0.0,0.0,EMPATO
Petter Hansson,1.0,0.0,GANO
Roger Guerreiro,0.0,0.0,GANO
Gattuso Gennaro,0.0,0.0,GANO
Radoslav Zabavnik,0.0,0.0,EMPATO
Xavi,1.0,0.0,GANO
Vasili Berezutskiy,1.0,1.0,GANO
Yezerskyi Vladimir,0.0,0.0,GANO
King Ledley,0.0,0.0,GANO
Laursen Martin,0.0,0.0,GANO
Dmitri Kruglov,0.0,0.0,GANO
Hangeland Brede,0.0,0.0,GANO
Williams Mark,1.0,0.0,EMPATO
Stephen Craigan,1.0,0.0,GANO
Duda,0.0,0.0,GANO
Arzumanyan Robert,1.0,0.0,PERDIO
Juhasz Roland,0.0,0.0,GANO
Aleksandr Yurevich,0.0,0.0,GANO
Richard Dunne,1.0,0.0,GANO
Tymoschuk Anatoliy,0.0,0.0,PERDIO
Kristjan Sigurdsson,0.0,0.0,EMPATO
Avdeyev Igor,0.0,0.0,PERDIO
Gabbidon Danny,1.0,0.0,PERDIO
Barasa Nerijus,0.0,0.0,GANO
Zemlinskis Mihails,0.0,0.0,EMPATO
Arzumanyan Robert,1.0,0.0,GANO
Frei Alexander,1.0,0.0,EMPATO
Chrysostomos Michail,0.0,0.0,PERDIO
Jacobsen Jon Roi,1.0,0.0,PERDIO
Tamas Gabriel,0.0,0.0,GANO
Ricardo Carvalho,0.0,0.0,PERDIO
Matthew Upson,0.0,0.0,GANO
Ashley Williams,0.0,1.0,PERDIO
Botjan Cesar,0.0,0.0,EMPATO
Joris Mathijsen,0.0,1.0,GANO
John O Shea,1.0,0.0,GANO
Bacciocchi Simone,1.0,0.0,PERDIO
Cunningham Kenny,1.0,0.0,GANO
Opdam Barry,1.0,0.0,EMPATO
Craigan Stephen,1.0,0.0,GANO
Nielsen Per,0.0,0.0,GANO
Cunningham Kenny,1.0,0.0,EMPATO
Lucic Teddy,1.0,0.0,PERDIO
Okkarides Stelios,1.0,0.0,PERDIO
Agger Daniel,0.0,1.0,GANO
Smirnovs Maris,0.0,0.0,EMPATO
Jupi Redi,0.0,0.0,GANO
Deschacht Olivier,1.0,0.0,PERDIO
Philippe Senderos,0.0,0.0,GANO
Murati Edvin,0.0,0.0,PERDIO
Buechel Martin,1.0,0.0,GANO
Kiril Kotev,0.0,0.0,GANO
Hasler Daniel,1.0,0.0,PERDIO
Gareth Barry,1.0,0.0,GANO
Buechel Martin,1.0,0.0,EMPATO
Smertin Alexei,0.0,0.0,EMPATO
Igor Tomasic,0.0,0.0,GANO
Knavs Aleksander,0.0,0.0,PERDIO
Tihinen Hannu,0.0,1.0,GANO
Miroslav Karhan,0.0,0.0,GANO
Artur Yedigaryan,0.0,0.0,PERDIO
Markov Georgi,0.0,0.0,PERDIO
Bastian Schweinsteiger,0.0,0.0,GANO
Clement Philippe,1.0,0.0,PERDIO
Galasek Tomas,1.0,0.0,PERDIO
Ashley Williams,0.0,0.0,GANO
Alessandro Gamberini,0.0,0.0,GANO
Stark Peter,0.0,0.0,EMPATO
Tainio Teemu,0.0,0.0,PERDIO
Steven Gerrard,1.0,1.0,GANO
Mahir Shukurov,1.0,0.0,EMPATO
Oscar Sonejee,1.0,1.0,PERDIO
Iliev Valentin,0.0,0.0,PERDIO
Omelyanchuk Sergei,0.0,0.0,PERDIO
Roland Juhasz,0.0,0.0,PERDIO
Collins James,1.0,0.0,EMPATO
Hoffmann Eric,0.0,1.0,PERDIO
Mitreski Igor,0.0,0.0,PERDIO
Sedloski Goce,1.0,0.0,GANO
Mitrakovic Zeljko,1.0,0.0,GANO
John O Shea,1.0,0.0,PERDIO
Gyepes Gabor,1.0,0.0,EMPATO
Giorgio Chiellini,0.0,0.0,EMPATO
Dorin Goian,0.0,0.0,PERDIO
Rzvan Ra,0.0,0.0,GANO
Fernandez Juli,1.0,0.0,PERDIO
Johan Djourou,1.0,0.0,PERDIO
Atli Gregersen,1.0,0.0,GANO
Johan Djourou,1.0,0.0,GANO
Stanislav Angelov,0.0,1.0,GANO
Cunningham Kenny,1.0,0.0,PERDIO
Koroman Ognjen,1.0,0.0,GANO
Sotirios Kyrgiakos,0.0,0.0,PERDIO
Grlic Ivica,1.0,0.0,EMPATO
William Gallas,0.0,1.0,GANO
Dmytro Chigrynskyi,0.0,0.0,GANO
Aleksandr Yurevich,0.0,0.0,PERDIO
Tomas Ujfalusi,0.0,0.0,GANO
Sonejee Oscar,1.0,1.0,PERDIO
Alexandru Epureanu,0.0,0.0,PERDIO
Mario Mutsch,1.0,0.0,PERDIO
Safet Nadarevic,0.0,0.0,GANO
Sanel Jahic,0.0,0.0,EMPATO
Dato Kvirkvelia,0.0,0.0,EMPATO
Kristjan Sigurdsson,0.0,0.0,GANO
Rebeja Radu,0.0,0.0,PERDIO
Omelyanchuk Sergei,0.0,0.0,EMPATO
Avi Strul,1.0,0.0,EMPATO
Lundekvam Claus,1.0,0.0,EMPATO
Thomas Vermaelen,1.0,0.0,PERDIO
Yasin Pehlivan,1.0,0.0,GANO
Radoslav Zabavnik,0.0,0.0,PERDIO
Barasa Nerijus,0.0,0.0,EMPATO
Matej Mavric,1.0,0.0,GANO
Endrit Vrapi,0.0,0.0,PERDIO
Marchena Carlos,1.0,0.0,EMPATO
Tadas Kijanskas,0.0,0.0,GANO
Anderson Russell,1.0,0.0,PERDIO
Ruslan Abyshov,0.0,0.0,PERDIO
Guy Blaise,1.0,0.0,PERDIO
Baszczynski Marcin,0.0,0.0,GANO
Juli Fernandez,1.0,0.0,PERDIO
Akhmedov Tarlan,0.0,0.0,EMPATO
Deniss Ivanovs,0.0,0.0,EMPATO
Yves Oehri,1.0,0.0,PERDIO
Rebeja Radu,0.0,0.0,GANO
Evans,1.0,0.0,GANO
Crescentini Federico,1.0,0.0,PERDIO
Zagorakis Theo,0.0,0.0,EMPATO
Fletcher Carl,1.0,0.0,GANO
Nanni Luca,1.0,0.0,PERDIO
Cana,1.0,0.0,EMPATO
Ghioane Tiberiu,0.0,0.0,PERDIO
Omelyanchuk Sergei,0.0,1.0,GANO
Roger Guerreiro,0.0,0.0,EMPATO
Collins James,1.0,0.0,PERDIO
Gerrard Steven,1.0,1.0,GANO
Sennikov Dmitri,0.0,0.0,GANO
Genadijs Solonicins,0.0,0.0,EMPATO
Tranquillo Barnetta,0.0,0.0,EMPATO
Avi Strool,0.0,0.0,PERDIO
Hlinka Peter,0.0,0.0,EMPATO
Gunnarsson Brynjar,1.0,0.0,PERDIO
Williams Mark,1.0,0.0,PERDIO
Radoslav Kovac,0.0,0.0,PERDIO
Dospel Ernst,0.0,0.0,GANO
Lundekvam Claus,1.0,0.0,GANO
Michal Papadopulos,0.0,0.0,GANO
Deschacht Olivier,1.0,0.0,GANO
Keisi Adoram,0.0,0.0,EMPATO
Butt Nicky,0.0,0.0,GANO
Belozoglu Emre,0.0,0.0,PERDIO
Mahir Shukurov,1.0,0.0,PERDIO
Mitreski Igor,0.0,0.0,EMPATO
Daniel Majstorovic,0.0,1.0,GANO
Romik Khachatryan,0.0,0.0,PERDIO
Petter Hansson,1.0,0.0,EMPATO
Shukurov Mohir,1.0,0.0,PERDIO
Knavs Aleksander,0.0,0.0,GANO
Alex Muscat,0.0,0.0,EMPATO
Mitreski Aleksandar,0.0,0.0,EMPATO
Makridis Konstantinos,0.0,1.0,EMPATO
Timofei Kalachev,0.0,0.0,EMPATO
Aleksandr Dmitrijev,1.0,0.0,GANO
Tihinen Hannu,0.0,0.0,PERDIO
Emre Belozoglu,0.0,0.0,PERDIO
Jovan Tanasijevic,1.0,0.0,EMPATO
Van Buyten Daniel,1.0,0.0,GANO
Hangeland Brede,0.0,0.0,PERDIO
Samaras,0.0,0.0,EMPATO
Basinas Angelos,0.0,1.0,GANO
Atli Gregersen,1.0,0.0,PERDIO
Hyypia,0.0,0.0,GANO
Ararat Arakelyan,1.0,0.0,EMPATO
Iencsi Adrian,0.0,0.0,GANO
Albani Nicola,1.0,0.0,PERDIO
Della Valle,1.0,0.0,PERDIO
Cisse Djibril,1.0,0.0,EMPATO
Khachatryan Romik,0.0,0.0,PERDIO
Mohir Shukurov,1.0,0.0,PERDIO
Vasili Berezutsky,1.0,0.0,GANO
Kroldrup Per,1.0,0.0,EMPATO
Nicolas Lombaerts,0.0,0.0,GANO
Andrey Karpovich,1.0,0.0,PERDIO
De Rossi Daniele,0.0,0.0,GANO
Cocu Phillip,0.0,0.0,GANO
Keisi Adoram,0.0,0.0,GANO
Shelayev Oleg,0.0,0.0,EMPATO
Piiroja Raio,1.0,0.0,GANO
Zagorakis Theo,0.0,0.0,PERDIO
William Gallas,0.0,0.0,EMPATO
David Ben Dayan,0.0,0.0,GANO
Shukurov Mohir,1.0,0.0,EMPATO
Heiko Westermann,1.0,0.0,EMPATO
Victor Golovatenco,0.0,0.0,EMPATO
Carl Fletcher,1.0,0.0,PERDIO
Thomas Rasmussen,0.0,0.0,GANO
Puyol Carlos,0.0,0.0,EMPATO
Zemlinskis Mihails,0.0,0.0,PERDIO
Cesar,0.0,0.0,GANO
Martin Stranzl,0.0,0.0,GANO
Irmantas Zelmikas,0.0,0.0,GANO
Vasily Berezutskiy,1.0,0.0,PERDIO
Rod Fanni,1.0,0.0,GANO
Ruslan Baltiyev,0.0,0.0,GANO
Mihai Roman,0.0,0.0,EMPATO
Gislason Stefan,0.0,0.0,GANO
Igor Mitreski,0.0,0.0,EMPATO
Jakub Rzezniczak,0.0,0.0,PERDIO
Pauleta,1.0,1.0,GANO
Sonejee Oscar,1.0,0.0,EMPATO
Petit,1.0,0.0,GANO
Jan Durica,0.0,0.0,GANO
Daniel Agger,0.0,0.0,PERDIO
Gavrancic Goran,1.0,0.0,EMPATO
Ibrahim Kas,1.0,0.0,GANO
Laizans Juris,0.0,0.0,GANO
Dimitris Christofi,0.0,1.0,GANO
Goce Sedloski,1.0,0.0,PERDIO
Sneijder Wesley,1.0,0.0,GANO
Tom Necid,0.0,0.0,EMPATO
Fernandez Juli,1.0,0.0,GANO
Zagorakis Theo,0.0,0.0,GANO
Amsi Agolli,0.0,0.0,GANO
Roland Juhasz,0.0,0.0,EMPATO
Olexici Ghenadie,1.0,0.0,EMPATO
Elmar Bakshiyev,0.0,0.0,EMPATO
Roland Juhasz,0.0,0.0,GANO
Mjallby Johan,1.0,0.0,GANO
Luke Dimech,1.0,0.0,PERDIO
Yankov Chavdar,0.0,1.0,GANO
Mueller Patrick,1.0,0.0,GANO
Nurmela Mika,0.0,0.0,GANO
Emre Belozoglu,0.0,0.0,GANO
Sanel Jahic,0.0,0.0,PERDIO
Atli Danielsen,0.0,0.0,EMPATO
Barcauan Cosmin,0.0,0.0,GANO
Amiran Sanaia,0.0,0.0,PERDIO
Scharner Paul,1.0,0.0,GANO
Mller Christensen,0.0,0.0,EMPATO
Efstathios Aloneftis,1.0,0.0,EMPATO
David Villa,0.0,0.0,GANO
Elvir Rahimic,0.0,0.0,PERDIO
Zirnis Dzintaris,0.0,0.0,GANO
Andreas Avraam,1.0,0.0,PERDIO
Tsikitishvili Levan,0.0,0.0,EMPATO
Angelos Charisteas,0.0,0.0,GANO
David Villa,0.0,1.0,GANO
Steve Von Bergen,1.0,0.0,GANO
Sami Hyypia,1.0,0.0,GANO
Efstathios Aloneftis,1.0,1.0,GANO
Vedran Corluka,1.0,0.0,PERDIO
Lundekvam Claus,1.0,0.0,PERDIO
Georgios Fotakis,0.0,0.0,GANO
Zewlakow Michal,0.0,0.0,PERDIO
Robert Arzumanyan,1.0,0.0,GANO
Robert Arzumanyan,1.0,1.0,PERDIO
Mueller Patrick,1.0,0.0,EMPATO
Gokhan Zan,0.0,0.0,GANO
Steven Gerrard,1.0,0.0,GANO
Pedro Mendes,0.0,0.0,GANO
Sonejee Oscar,1.0,0.0,PERDIO
Dmytro Chigrynskyi,0.0,0.0,EMPATO
Valerii Catinsus,0.0,0.0,EMPATO
Pressley Steven,1.0,0.0,PERDIO
Lars Gerson,0.0,0.0,EMPATO
Hyypia,0.0,0.0,PERDIO
Juhasz Roland,0.0,0.0,PERDIO
Makridis Konstantinos,0.0,0.0,PERDIO
Hiden Martin,0.0,0.0,PERDIO
Lassana Diarra,0.0,0.0,GANO
Frei Alexander,1.0,0.0,GANO
Yankov Chavdar,0.0,0.0,GANO
Andreas Ulmer,0.0,0.0,GANO
Hiden Martin,0.0,0.0,GANO
Vasily Berezutskiy,1.0,0.0,GANO
David Ben Dayan,0.0,1.0,GANO
Majak,0.0,0.0,GANO
Ivica Dragutinovic,0.0,0.0,EMPATO
Krassas Asimakis,0.0,1.0,GANO
Kolvisson,0.0,0.0,PERDIO
Ararat Arakelyan,1.0,0.0,PERDIO
Zisis Vryzas,0.0,0.0,PERDIO
Guzun,0.0,0.0,EMPATO
Oleg Kuznetsov,0.0,0.0,EMPATO
Hlinka Peter,0.0,0.0,GANO
Costacurta,0.0,0.0,PERDIO
Besnik Hasi,0.0,0.0,PERDIO
Selymes,1.0,0.0,PERDIO
Marian Zeciu,1.0,0.0,PERDIO
Razvan Ratdinca,0.0,0.0,PERDIO
Maxim Zhalmagambetov,1.0,0.0,PERDIO
Dario Knezevic,1.0,0.0,GANO
Fatih Akyel,0.0,0.0,PERDIO
Rene Bolf,1.0,0.0,PERDIO
Kamil Kosowski,0.0,0.0,EMPATO
Niclas Jensen,0.0,0.0,GANO
Jeremie Peiffer,1.0,0.0,PERDIO
Ramelow,0.0,0.0,GANO
Kvirkvelia Dato,0.0,0.0,PERDIO
Egor Titov,0.0,1.0,GANO
Michael Stocklasa,0.0,0.0,GANO
Nikolaos Dabizas,0.0,0.0,PERDIO
Luigi Di Biagio,0.0,0.0,GANO
Jovan Tanasijevic,1.0,0.0,PERDIO
Gary Caldwell,1.0,0.0,PERDIO
Ince,1.0,0.0,PERDIO
Heraf,0.0,0.0,GANO
Laizans Juris,0.0,0.0,PERDIO
Kalitzakis,0.0,0.0,GANO
Zoltn Szlesi,0.0,0.0,GANO
Mariano Perna,1.0,0.0,GANO
Jrobinson,1.0,0.0,PERDIO
Michael Svensson,0.0,0.0,EMPATO
Michal Kadlec,0.0,0.0,GANO
Votava,0.0,0.0,GANO
Bjrnebye,,0.0,GANO
Lszl Ger,0.0,0.0,PERDIO
Georgios Samaras,0.0,0.0,GANO
Asanovic,,0.0,PERDIO
Mihajlovic,1.0,0.0,GANO
Mark Iuliano,0.0,0.0,GANO
Elvir Rahimic,0.0,0.0,GANO
Oleg Kuznetsov,0.0,0.0,PERDIO
Cristiano Zanetti,0.0,0.0,GANO
Rgvi Jacobsen,0.0,1.0,PERDIO
Lorenzo Moretti,1.0,0.0,PERDIO
Christian Fuchs,0.0,0.0,PERDIO
Claude Makelele,0.0,0.0,GANO
Vedran Corluka,0.0,0.0,PERDIO
Lychkin,1.0,1.0,GANO
Erik Edman,0.0,0.0,GANO
Demetris Daskalakis,0.0,0.0,PERDIO
V Berezutskiy,0.0,0.0,PERDIO
Engonga,0.0,0.0,GANO
Muhamed Konjic,1.0,0.0,GANO
Hyypi,0.0,0.0,EMPATO
Zemlinskis Mihails,0.0,0.0,GANO
Aleksei Smertin,0.0,0.0,EMPATO
Baltusnikas,0.0,0.0,EMPATO
Stephen Crainey,0.0,0.0,EMPATO
Cosmin Contra,0.0,1.0,GANO
Levan Kobiashvili,0.0,0.0,GANO
Hansson Petter,1.0,0.0,GANO
Sivilia,1.0,0.0,PERDIO
Marco Caneira,0.0,0.0,EMPATO
Ren Peters,1.0,0.0,GANO
Barasa Nerijus,0.0,0.0,PERDIO
Aleksandr Kulchy,0.0,0.0,GANO
Opdam Barry,1.0,1.0,GANO
Nuno Valente,0.0,0.0,EMPATO
Oleg Kuznetsov,0.0,0.0,GANO
Smakov Samat,1.0,0.0,PERDIO
Tomas Hubocan,0.0,0.0,GANO
Mares Pavel,0.0,0.0,GANO
David Mcpherson,1.0,0.0,PERDIO
Batrnu,0.0,0.0,GANO
Bushaj Alban,0.0,0.0,GANO
Farkhadbek Irismetov,1.0,0.0,GANO
Zielinski,0.0,0.0,PERDIO
Adrian Iencsi,0.0,0.0,EMPATO
Gliha,0.0,0.0,GANO
Hendry,1.0,0.0,EMPATO
Aleksandr Tadevosyan,0.0,0.0,PERDIO
Oleh Shelayev,0.0,0.0,PERDIO
Mihails Zemlinskis,0.0,0.0,EMPATO
Andrei Corneencov,0.0,0.0,GANO
Holger Badstuber,0.0,0.0,GANO
Mikael Silvestre,0.0,0.0,GANO
Martin Hiden,0.0,0.0,GANO
Yanovskiy,0.0,1.0,PERDIO
Babunski,0.0,1.0,PERDIO
Murati,0.0,0.0,PERDIO
Giovanni Van Bronckhorst,1.0,0.0,EMPATO
Jeanalain Boumsong,0.0,0.0,GANO
Milinovic,0.0,0.0,PERDIO
Ritchie,1.0,1.0,PERDIO
Michael Sjnberg,1.0,0.0,PERDIO
Carsten Ramelow,0.0,0.0,GANO
Basile Boli,1.0,0.0,EMPATO
Solbakken,0.0,0.0,GANO
Raio Piiroja,0.0,0.0,GANO
Francisco Jemez,0.0,0.0,PERDIO
Michael Svensson,0.0,0.0,GANO
Steven Gerrard,1.0,0.0,PERDIO
Gordon Schildenfeld,0.0,0.0,GANO
Spahic Emir,1.0,0.0,PERDIO
Gilles Engeldinger,1.0,0.0,PERDIO
Mitrakovic Zeljko,1.0,0.0,PERDIO
Kaladze,1.0,0.0,PERDIO
Aco Stojkov,0.0,0.0,PERDIO
Zech,1.0,0.0,PERDIO
Rkhachatrian,0.0,0.0,PERDIO
Marcel Jansen,0.0,0.0,GANO
Egishe Melikyan,0.0,0.0,EMPATO
Rosicky Tomas,1.0,0.0,GANO
Jason Koumas,1.0,0.0,PERDIO
Roberto Jons,1.0,0.0,PERDIO
Bragstad,0.0,0.0,GANO
Riccardo Ferri,0.0,0.0,EMPATO
Aslan Kerimov,0.0,0.0,GANO
Anatoliy Tymoschuk,0.0,0.0,EMPATO
Konjic,0.0,1.0,PERDIO
Cunningham,1.0,0.0,GANO
