jugador,inmigrante,gol,resultado
Costel Pantilimon,0.0,0.0,GANO
Alvarez Jesus,1.0,0.0,PERDIO
Recber Rustu,0.0,0.0,GANO
Diego Benaglio,1.0,0.0,PERDIO
Jakup Mikkelsen,1.0,0.0,GANO
Recber Rustu,0.0,0.0,EMPATO
Mihaylov,0.0,0.0,GANO
Given Shay,1.0,0.0,PERDIO
Konstantinos Chalkias,0.0,0.0,PERDIO
Tolja Almir,1.0,0.0,EMPATO
Steve Mandanda,0.0,0.0,GANO
Volkan Demirel,1.0,0.0,EMPATO
Stanislav Bogush,0.0,0.0,GANO
Gordon Craig,1.0,0.0,EMPATO
Yury Zhevnov,0.0,0.0,PERDIO
Niemi Antti,1.0,0.0,GANO
Daniel Zitka,0.0,0.0,GANO
Hasagic Kenan,0.0,0.0,EMPATO
Nicolai Calancea,0.0,0.0,PERDIO
Jonathan Joubert,0.0,0.0,PERDIO
Vukasin Poleksic,1.0,0.0,EMPATO
Kenan Hasagic,0.0,0.0,GANO
Gillet Stephane,1.0,0.0,PERDIO
Nemanja Supic,1.0,0.0,EMPATO
Andriy Pyatov,0.0,0.0,PERDIO
Gunnleifur Gunnleifsson,0.0,0.0,GANO
P Cech,0.0,0.0,GANO
Coupet Gregory,0.0,0.0,GANO
Zhaunou Yury,1.0,0.0,EMPATO
Dudu Aouate,0.0,0.0,EMPATO
Myhre Thomas,1.0,0.0,EMPATO
Pavel Londak,0.0,0.0,PERDIO
Lika Ilion,0.0,0.0,PERDIO
Kotenko Artur,1.0,0.0,GANO
Jesus Alvarez,1.0,0.0,PERDIO
Michael Gspurning,0.0,0.0,GANO
Jn Mucha,0.0,0.0,PERDIO
S Handanovic,1.0,0.0,GANO
Casillas Iker,0.0,0.0,EMPATO
Gordon Craig,1.0,0.0,PERDIO
Kamran Agayev,0.0,0.0,PERDIO
Boruc Artur,0.0,0.0,GANO
Kramarenko Dmitriy,0.0,0.0,EMPATO
Demirel Volkan,1.0,0.0,GANO
Andris Vanins,0.0,0.0,EMPATO
Barthez Fabien   Gk,0.0,0.0,EMPATO
Hmaruc Evgheni,0.0,0.0,GANO
Ceccoli Michele,1.0,0.0,PERDIO
Nikopolidis Antonios,0.0,0.0,EMPATO
Aldo Simoncini,1.0,0.0,PERDIO
Jones Paul,1.0,0.0,GANO
Samir Ujkani,1.0,0.0,EMPATO
Stefan Senecky,1.0,0.0,GANO
Giorgi Loria,0.0,0.0,PERDIO
Lobont Bogdan,0.0,0.0,PERDIO
Malafeev Vyacheslav   Gk,0.0,0.0,GANO
Khomutovsky Vasily,0.0,0.0,GANO
Strakosha Foto,0.0,0.0,GANO
Artur Boruc,0.0,0.0,EMPATO
Jones Paul,1.0,0.0,PERDIO
Rune Jarstein,0.0,0.0,EMPATO
Marco Woelfli,1.0,0.0,EMPATO
Dudu Aouate,0.0,0.0,PERDIO
Taylor Maik,1.0,0.0,PERDIO
P Cech,0.0,0.0,PERDIO
Muscat Mario,0.0,0.0,PERDIO
Payer Helge,0.0,0.0,GANO
Proto Silvio,1.0,0.0,GANO
Helge Payer,0.0,0.0,GANO
Aouate Dudu,0.0,0.0,EMPATO
Shovkovskyi Oleksandr,0.0,0.0,EMPATO
Justin Haber,0.0,0.0,PERDIO
Recber Rustu,0.0,0.0,PERDIO
Farhad Valiyev,0.0,0.0,PERDIO
Nikoloski Jane,0.0,0.0,EMPATO
Roman Berezovski,0.0,0.0,PERDIO
Andreas Isaksson,1.0,0.0,EMPATO
Hasanzada Cahangir,1.0,0.0,PERDIO
Dimitar Ivankov,0.0,0.0,EMPATO
Justin Haber,0.0,0.0,EMPATO
Milosevski Petar,1.0,0.0,EMPATO
Andris Vanins,0.0,0.0,PERDIO
Panayiotou Nicos,0.0,0.0,EMPATO
Yury Zhevnov,0.0,0.0,EMPATO
Quim,0.0,0.0,EMPATO
Karchemarskas Zhidrunas,1.0,0.0,PERDIO
Volkan Demirel,1.0,0.0,PERDIO
Gianluigi Buffon,0.0,0.0,GANO
Zuberbuehler Pascal,0.0,0.0,GANO
Myhre Thomas,1.0,0.0,PERDIO
Vladimir Stojkovic,0.0,0.0,GANO
Morev Andrey,0.0,0.0,PERDIO
Tzorvas,0.0,0.0,EMPATO
Nemanja Supic,1.0,0.0,GANO
Jskelinen,,0.0,GANO
Roman Berezovski,0.0,0.0,EMPATO
Eduardo,0.0,0.0,EMPATO
Devadze Akaki,0.0,0.0,PERDIO
Heeb Martin,1.0,0.0,PERDIO
A Simoncini,1.0,0.0,PERDIO
Barthez Fabien,0.0,0.0,EMPATO
Valiyev,0.0,0.0,PERDIO
Madzovski Filip,0.0,0.0,PERDIO
Sorensen Thomas,1.0,0.0,EMPATO
Logan Bailly,0.0,0.0,GANO
De Sanctis Morgan,0.0,0.0,GANO
Dudek Jerzy,0.0,0.0,GANO
Apoula Bete,0.0,0.0,PERDIO
Shovkovskyi Oleksandr   Gk,0.0,0.0,EMPATO
Nikopolidis Antonios,0.0,0.0,PERDIO
F Valentini,0.0,0.0,PERDIO
