,data
496,0.39
497,4.54
498,-4.77
499,-4.45
500,1.38
501,6.52
502,2.03
503,0.45
504,-6.17
505,-2.82
506,4.78
507,-0.73
508,9.77
509,2.13
510,-4.03
511,-7.57
512,-2.3
513,0.35
514,1.17
515,-13.4
516,-6.31
517,3.74
518,1.11
519,4.68
520,0.88
521,-2.45
522,-2.47
523,7.58
524,-1.53
525,-13.19
526,-2.61
527,-3.0
528,0.46
529,3.05
530,8.87
531,-6.64
532,-1.03
533,8.28
534,6.34
535,2.27
536,6.26
537,3.68
538,-1.44
539,-1.09
540,-5.65
541,-2.92
542,-2.53
543,-12.21
544,-5.29
545,13.75
546,5.88
547,7.55
548,0.53
549,0.39
550,2.58
551,-0.47
552,-5.65
553,4.56
554,-1.93
555,0.41
556,4.61
557,2.91
558,2.11
559,5.06
560,-1.59
561,-3.06
562,-3.79
563,3.33
564,9.55
565,2.93
566,12.19
567,6.62
568,-7.36
569,5.24
570,2.98
571,2.3
572,-9.32
573,-6.27
574,-7.73
575,1.83
576,0.86
577,-11.55
578,-7.23
579,17.38
580,-1.55
581,-4.94
582,14.58
583,4.94
584,9.41
585,12.7
586,5.76
587,4.7
588,-3.55
589,-7.68
590,-2.77
591,-2.68
592,-0.98
593,0.87
594,14.33
595,0.95
596,6.94
597,1.12
598,0.32
599,7.24
600,-3.37
601,-1.49
602,0.65
603,-1.96
604,0.19
605,6.73
606,-3.32
607,-4.94
608,2.6
609,0.87
610,-7.75
611,-2.04
612,-6.47
613,-0.75
614,-4.02
615,-7.8
616,4.77
617,1.97
618,-7.31
619,-1.29
620,5.49
621,4.91
622,3.35
623,-5.22
624,7.89
625,7.42
626,3.37
627,-11.07
628,2.85
629,3.92
630,11.18
631,-0.18
632,9.67
633,-2.36
634,1.51
635,10.66
636,4.03
637,7.01
638,4.74
639,-11.26
640,9.63
641,14.23
642,14.84
643,3.9
644,-19.25
645,-0.48
646,6.54
647,6.58
648,8.81
649,4.81
650,8.76
651,1.07
652,10.38
653,-3.99
654,-7.09
655,-2.83
656,17.6
657,-0.74
658,-0.89
659,3.76
660,4.62
661,-1.61
662,-16.16
663,1.8
664,4.32
665,-5.9
666,-16.17
667,-7.84
668,-14.2
669,0.46
670,-5.7
671,-7.14
672,-11.29
673,13.43
674,-3.12
675,10.35
676,-1.02
677,6.1
678,12.04
679,-5.97
680,2.65
681,8.39
682,9.14
683,1.02
684,0.21
685,0.79
686,-4.47
687,-10.68
688,5.98
689,-1.92
690,1.75
691,-0.21
692,7.28
693,-3.6
694,-5.94
695,-10.29
696,-12.96
697,20.98
698,-4.66
699,-8.05
700,2.15
701,-3.95
702,13.45
703,-1.1
704,1.78
705,-0.56
706,-1.49
707,-3.73
708,8.49
709,-2.12
710,-10.2
711,-2.62
712,7.13
713,-2.16
714,-0.42
715,-1.8
716,6.37
717,-2.86
718,4.35
719,-3.77
720,-9.31
721,16.01
722,2.14
723,-0.53
724,0.79
725,-0.25
726,17.54
727,10.68
728,11.82
729,3.76
730,-1.31
731,0.46
732,15.24
733,-6.28
734,4.6
735,-32.89
736,-1.24
737,9.62
738,-3.22
739,7.86
740,12.29
741,2.53
