,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
200106,   3.6034,   5.1748,   5.3517,  -3.0154,  -1.1702,  -2.2260
200107,  -9.2634,  -1.4042,  -1.0667,  -6.4472,  -1.5934,   0.2020
200108,  -6.4611,  -0.8744,  -2.9134,  -9.4088,  -6.9356,  -4.8404
200109, -17.2380, -11.4009, -15.0212, -14.1261,  -9.0983,  -6.2897
200110,   9.3976,   3.6580,   7.0764,   4.6530,   3.5415,   0.9507
200111,  10.3297,   6.4450,   6.7606,  10.5528,   8.2400,   6.6498
200112,   7.1467,   6.1061,   7.0416,   0.0914,   2.1715,   0.8945
200201,  -2.9750,   1.1949,   1.6988,  -4.7204,  -1.1902,  -0.0182
200202,  -7.9893,   0.6539,   0.4438,  -8.0104,  -1.9060,  -0.3282
200203,   9.3177,   7.9713,   8.7952,   5.9606,   4.9265,   2.9218
200204,  -3.0977,   4.5340,   3.8158,  -8.1965,  -4.4659,  -5.9309
200205,  -5.6690,  -3.1601,  -3.0473,  -2.5569,  -1.2536,  -0.4793
200206,  -6.1081,  -1.9616,  -3.4903, -12.6845,  -5.1324,  -7.4410
200207, -16.5000, -13.6605, -13.5030,  -9.7629,  -9.4145,  -5.2349
200208,  -2.1762,   1.4229,   1.6541,   1.0820,   1.5386,  -0.0736
200209, -10.5516,  -5.5338,  -5.0122, -11.2208, -10.8343, -10.2319
200210,   6.8169,   2.6623,   1.6169,   8.7477,   9.9745,   7.2347
200211,  15.6116,   6.3431,   4.6092,  11.1918,   6.1006,   3.8196
200212,  -9.4605,  -3.0952,  -2.3618,  -9.0394,  -7.3215,  -3.5890
200301,  -1.7558,  -2.6701,  -1.9013,  -0.5002,  -4.1363,  -2.4208
200302,  -3.5555,  -2.8027,  -2.7061,  -2.9270,  -1.0016,  -2.0454
200303,   0.9024,   0.6675,   2.6813,  -0.4475,   1.2283,   1.5148
200304,  12.4412,   8.5751,   7.6429,  11.2574,   9.0708,   6.7063
200305,  16.5871,   7.6308,   7.9650,  10.0775,   5.3479,   4.6668
200306,   2.6291,   2.5176,   3.2955,   1.0879,   1.3456,   1.2998
200307,   8.2928,   5.8422,   4.6757,   4.5771,   3.4932,  -0.2705
200308,   6.5664,   4.0313,   3.5937,   2.3829,   3.5777,   0.9410
200309,  -0.4664,  -1.6594,  -1.0689,  -3.0907,  -1.0665,  -0.3693
200310,   9.4316,   8.1419,   9.2769,   7.0520,   6.8907,   4.6027
200311,   3.5080,   3.7496,   4.1460,   1.8746,   0.4355,   1.4782
200312,   1.6288,   2.8290,   2.9078,   5.2285,   3.8952,   4.9625
200401,   7.7600,   2.0321,   2.5175,   3.6467,   1.1672,   1.5749
200402,  -0.8738,   1.8179,   2.5890,   0.4078,   2.7264,   1.2473
200403,  -0.4894,   1.1812,   2.6246,  -1.6421,  -1.1779,  -1.5354
200404,  -6.0390,  -2.7057,  -2.5395,  -3.2281,  -2.6090,   0.1118
200405,   1.1416,   1.1329,   0.5100,   2.2208,   1.6493,   0.5511
200406,   3.1082,   5.1273,   5.4147,   1.6776,   1.4657,   1.7503
200407, -10.1824,  -4.5523,  -3.5188,  -6.6823,  -3.1600,  -2.7277
200408,  -1.3863,  -0.3010,  -1.3510,  -1.5640,   0.3420,   0.8745
200409,   4.9373,   4.6460,   5.0984,   3.7509,   1.0067,   0.7194
200410,   1.7030,   2.1453,   2.0697,   2.6463,   1.3447,   1.2937
200411,   8.4575,   8.5244,   9.3734,   5.8881,   4.2236,   3.8021
200412,   4.3993,   2.8514,   3.1891,   4.8088,   2.7454,   3.6805
200501,  -5.1556,  -2.9581,  -2.7518,  -5.0303,  -1.8151,  -1.9961
200502,   1.2163,   2.1020,   2.2982,   1.1566,   1.7156,   2.9215
200503,  -4.1066,  -1.5971,  -2.4928,  -1.0876,  -1.4515,  -1.8002
200504,  -7.0764,  -5.0323,  -5.6216,  -2.7122,  -1.1664,  -2.2878
200505,   6.2684,   6.6398,   6.9110,   5.6195,   3.2897,   3.0745
200506,   3.6439,   3.8387,   4.6135,  -0.3411,   0.3912,   0.6005
200507,   7.5336,   6.3280,   5.6458,   4.3368,   3.7466,   3.7598
200508,  -0.6100,  -1.9966,  -2.8325,   0.6612,  -1.1740,  -1.3364
200509,   0.8456,  -0.0199,   1.0419,   0.4679,   1.0889,   0.8107
200510,  -3.4869,  -2.1749,  -3.3724,  -0.2480,  -1.3893,  -2.2445
200511,   4.6816,   4.5382,   5.0575,   4.6979,   4.5213,   2.8473
200512,   0.1651,  -1.0307,   0.4795,  -0.4793,   0.7133,  -0.3809
200601,   9.6971,   7.7529,   8.9494,   3.2888,   2.5352,   2.7088
200602,   0.0954,  -0.2090,  -1.4265,  -0.7188,   0.8912,  -0.2025
200603,   4.5969,   5.0908,   4.5913,   1.0620,   1.8656,   1.2685
200604,  -0.4973,   0.8398,   1.7667,  -0.1014,   1.7647,   1.2202
200605,  -7.0584,  -4.2710,  -4.9882,  -2.5195,  -3.3965,  -2.2800
200606,  -0.8037,   0.4101,   0.6671,  -0.3154,  -0.4800,   0.8764
200607,  -4.4975,  -2.9318,  -3.5103,  -1.7680,   0.3988,   0.5188
200608,   3.8696,   2.2598,   1.5553,   3.7205,   2.1386,   2.2296
200609,  -0.0439,   1.5389,   1.6469,   2.0915,   2.9716,   2.1214
200610,   5.5760,   5.0869,   5.4278,   3.8792,   2.7230,   3.6998
200611,   2.6960,   2.5563,   3.2372,   2.5051,   1.4114,   2.3272
200612,   0.5277,   0.9369,   0.2227,   1.6575,   2.0427,   0.5460
200701,   1.6117,   1.3750,   2.4050,   2.0305,   1.7457,   1.7698
200702,  -0.3425,  -0.1989,  -0.4891,  -0.9921,  -1.9339,  -1.8499
