,data
439,2.552
440,2.5962
441,-2.4656
442,-3.7743
443,4.3899
444,2.6686
445,6.2189
446,-2.4868
447,-1.1095
448,-3.8847
449,9.2812
450,7.1436
451,-1.1741
452,-2.5888
453,6.8051
454,4.3842
455,5.3517
456,-1.0667
457,-2.9134
458,-15.0212
459,7.0764
460,6.7606
461,7.0416
462,1.6988
463,0.4438
464,8.7952
465,3.8158
466,-3.0473
467,-3.4903
468,-13.503
469,1.6541
470,-5.0122
471,1.6169
472,4.6092
473,-2.3618
474,-1.9013
475,-2.7061
476,2.6813
477,7.6429
478,7.965
479,3.2955
480,4.6757
481,3.5937
482,-1.0689
483,9.2769
484,4.146
485,2.9078
486,2.5175
487,2.589
488,2.6246
489,-2.5395
490,0.51
491,5.4147
492,-3.5188
493,-1.351
494,5.0984
495,2.0697
496,9.3734
497,3.1891
498,-2.7518
499,2.2982
500,-2.4928
501,-5.6216
502,6.911
503,4.6135
504,5.6458
505,-2.8325
506,1.0419
507,-3.3724
508,5.0575
509,0.4795
510,8.9494
511,-1.4265
512,4.5913
513,1.7667
514,-4.9882
515,0.6671
516,-3.5103
517,1.5553
518,1.6469
519,5.4278
520,3.2372
521,0.2227
522,2.405
523,-0.4891
524,1.7562
525,3.1715
526,4.8212
527,-0.3076
528,-6.8662
529,-0.968
530,0.865
531,0.8714
532,-7.0641
533,-0.5422
534,-5.2126
535,-2.7828
536,0.1653
537,5.2259
538,6.885
539,-4.4323
540,2.1665
541,5.3564
542,-10.1148
543,-21.6487
544,-12.7791
545,5.1307
546,-10.7811
547,-11.6844
548,9.7825
549,21.95
550,3.5267
551,0.4602
552,10.9027
553,4.3738
554,8.7242
555,-6.4353
556,2.8528
557,9.8795
558,-3.018
559,5.5928
560,8.9876
561,7.0534
562,-6.3409
563,-8.894
564,6.1516
565,-8.4065
566,12.4006
567,4.5869
568,4.2164
569,6.645
570,-0.2151
571,3.6063
572,3.3468
573,2.4832
574,-1.4354
575,-0.6748
576,-2.9329
577,-9.3268
578,-11.9501
579,15.6001
580,-0.7798
581,0.1528
582,6.2707
583,3.3445
584,2.1307
585,-0.8848
586,-5.9719
587,4.1508
588,-2.284
589,2.8275
590,3.2443
591,-2.3362
592,1.9429
593,3.7866
594,6.4418
595,0.7508
596,5.9416
597,-0.566
598,4.6614
599,-0.295
600,7.3463
601,-1.9459
602,6.3362
603,4.0407
604,4.2905
605,2.5352
606,-5.1686
607,4.1826
608,1.1501
609,-1.9689
610,-0.2321
611,4.8809
612,-6.4117
613,5.2392
614,-4.0982
615,4.0574
616,1.4797
617,1.9238
618,-3.3908
619,6.2223
620,1.9976
621,-2.1238
622,1.0961
623,1.4242
624,-2.429
625,-6.2424
626,-6.0782
627,6.4101
628,1.1827
629,-5.3608
630,-9.2723
631,1.9565
632,8.7815
633,1.1909
634,0.3346
635,-0.1507
636,6.6255
637,2.2643
638,0.0006
639,-4.8392
640,12.7674
641,2.5953
642,-0.5502
643,0.8534
644,1.0283
645,2.7769
646,-2.0157
647,2.05
648,0.4525
649,-2.194
650,7.0538
651,1.0008
652,4.9993
653,2.0655
654,2.0249
655,-3.4692
656,1.0587
657,-0.1701
658,4.0019
659,2.5441
660,1.7316
661,1.8292
662,-1.951
663,-11.4325
664,-0.7154
665,-13.0265
666,13.1027
667,4.3457
668,-3.0767
669,5.1638
670,-9.5445
671,7.7901
672,-1.3724
673,-7.7618
674,3.4491
675,2.4333
676,4.3162
677,3.2477
678,-5.3311
679,-9.9327
680,-30.7569
681,21.3924
682,11.0636
683,3.4724
684,3.3249
685,9.3342
686,-3.896
687,2.5862
688,22.6109
689,8.7164
690,3.4986
691,11.9431
692,5.4303
693,5.0041
694,4.0155
695,-1.0875
696,-1.4591
697,1.5575
698,-2.9609
699,3.5086
700,-1.3138
701,4.4023
702,-8.0753
703,1.4005
704,-1.0785
705,-7.8135
706,1.7697
707,-8.6586
708,
709,-0.5349
710,3.6697
711,-1.0285
712,1.3057
713,-2.9648
714,-0.8835
715,3.93
716,2.015
717,1.9191
718,-0.3844
719,-0.3764
720,1.514
721,2.916
722,-0.9448
