,data
436,14.9677
437,-2.9097
438,7.6264
439,-4.019
440,-0.159
441,2.3307
442,2.0925
443,-0.0253
444,-2.3585
445,5.1861
446,-4.0186
447,1.4128
448,-4.1169
449,-1.5016
450,-1.4391
451,1.4646
452,2.7029
453,-0.9268
454,3.2963
455,0.9376
456,0.7738
457,-1.8465
458,3.0778
459,-1.0755
460,-0.9739
461,1.4012
462,7.7312
463,3.2196
464,2.4489
465,0.2086
466,0.9738
467,-10.2612
468,3.7763
469,7.2889
470,5.8302
471,4.0884
472,1.4172
473,4.0358
474,4.623
475,5.3038
476,0.4078
477,2.5916
478,-9.6304
479,1.7673
480,-3.1661
481,-12.7692
482,-1.8229
483,-5.3684
484,7.7621
485,4.7562
486,16.9703
487,3.2435
488,6.864
489,3.1958
490,-1.2794
491,10.2417
492,7.1811
493,-0.9821
494,4.9964
495,-1.5185
496,0.9677
497,11.9344
498,-3.9949
499,-7.4674
500,-0.8733
501,18.7842
502,11.5443
503,-0.5903
504,-9.0848
505,1.6832
506,7.0382
507,-0.33
508,9.8094
509,-0.0638
510,-2.8219
511,-10.9306
512,4.0986
513,1.9936
514,-1.4077
515,-12.2956
516,-10.7292
517,7.2436
518,1.5925
519,10.9949
520,-3.4751
521,-4.6609
522,-6.9352
523,2.5214
524,-5.7768
525,-22.2245
526,-12.9451
527,-9.9501
528,6.7645
529,9.616
530,17.8286
531,-4.8507
532,0.8679
533,8.5923
534,7.755
535,4.3169
536,7.5421
537,1.9803
538,-2.9027
539,3.4447
540,-6.2508
541,3.8125
542,2.2047
543,-5.7025
544,-1.922
545,12.8652
546,8.2778
547,5.1507
548,2.0301
549,0.1931
550,-0.4063
551,-3.9635
552,-5.4068
553,-0.5046
554,-3.5078
555,-4.0677
556,4.1784
557,-0.5915
558,-10.622
559,-13.7478
560,-5.0
561,-13.9279
562,-11.1663
563,-6.9214
564,21.641
565,-2.9076
566,11.0546
567,-2.991
568,-23.499
569,-0.5461
570,4.7384
571,0.3179
572,-1.4605
573,-8.3685
574,-6.3185
575,-3.743
576,-7.4245
577,-9.44
578,-12.1353
579,16.1204
580,-4.9241
581,-6.541
582,21.7651
583,8.5235
584,6.6619
585,6.3111
586,12.2008
587,9.7013
588,-3.4147
589,-4.7567
590,-3.3459
591,2.4456
592,-0.1546
593,-2.4991
594,13.1284
595,7.3034
596,1.0444
597,-1.1856
598,-0.4955
599,2.617
600,-1.0912
601,-4.3921
602,4.212
603,-2.8377
604,3.0372
605,9.0848
606,-0.5284
607,-1.7033
608,0.5774
609,1.1683
610,0.9086
611,8.5924
612,-1.1783
613,0.5599
614,1.1125
615,-5.2386
616,8.5038
617,2.9887
618,-5.3554
619,1.7597
620,6.1343
621,10.1104
622,6.8808
623,-1.1525
624,7.9461
625,9.0529
626,-1.6491
627,-24.7686
628,11.2701
629,3.0037
630,8.8668
631,-3.0003
632,12.3131
633,1.6278
634,-2.3027
635,7.4402
636,1.8783
637,8.486
638,0.73
639,-8.5549
640,11.2343
641,8.8306
642,6.9858
643,-1.6076
644,-19.0307
645,6.3139
646,8.9588
647,4.4866
648,14.4596
649,8.2902
650,4.6095
651,6.618
652,13.455
653,-5.1269
654,-4.9628
655,-0.4446
656,8.0677
657,1.8303
658,6.3194
659,-7.1244
660,-2.4953
661,-10.3597
662,-10.3044
663,11.0404
664,1.5875
665,-1.7892
666,-5.4882
667,-7.3965
668,-3.8172
669,6.6906
670,-3.9048
671,-4.2976
672,-3.4201
673,7.9355
674,2.3812
675,17.4012
676,9.7269
677,-0.1201
678,8.0693
679,5.1222
680,1.6932
681,7.9632
682,5.695
683,6.9736
684,-7.3793
685,-5.3422
686,1.1644
687,-10.1702
688,6.0365
689,-3.1958
690,-6.199
691,-7.2417
692,-0.0399
693,-1.3168
694,-6.1982
695,3.9004
696,-5.2769
697,15.9523
698,-5.529
699,-2.9984
700,-5.8008
701,2.0736
702,16.181
703,2.9061
704,-4.6508
705,-3.1956
706,4.0913
707,0.8844
708,3.1919
709,-1.9709
710,-7.3923
711,4.1098
712,9.3527
713,5.164
714,1.1084
715,7.4479
716,3.6044
717,2.4142
718,3.2838
719,0.6383
720,-11.4446
721,2.4912
722,-8.8752
723,6.4317
724,0.2562
725,-3.2256
726,13.6119
727,9.6095
728,0.7362
729,-3.9106
730,-1.041
731,1.7538
732,2.2176
733,2.7865
734,-2.0497
735,-32.6923
736,-7.0804
737,11.8181
738,1.8126
739,8.4201
740,2.3213
741,2.0943
742,-4.4077
743,7.4678
744,-2.7336
745,-4.3058
746,2.8181
747,-2.2695
748,-4.1001
749,5.1667
750,3.8161
751,0.9213
752,1.7331
753,4.6242
754,5.2189
755,-4.6648
756,5.2545
757,3.1475
758,2.0238
759,-5.2167
760,0.3335
761,1.0673
762,-8.9337
763,3.544
764,4.8192
765,-4.0106
766,10.347
767,-0.0361
768,-5.9196
769,-14.483
770,-10.3259
771,-7.1492
772,12.03
773,4.0327
774,9.7392
775,11.8449
776,7.4524
777,-1.483
778,5.2831
779,-5.2615
780,4.127
781,3.9931
782,0.5631
783,2.3269
784,-4.7847
785,11.445
786,8.3389
787,0.271
788,-8.1263
789,-6.328
790,-0.1827
791,-5.3526
792,2.7682
793,-4.1158
