,Date,Country,Finalresult,TeamPlayer1,foreign_1,goal_1,TeamPlayer2,foreign_2,goal_2,TeamPlayer3,foreign_3,goal_3,TeamPlayer4,foreign_4,goal_4,TeamPlayer5,foreign_5,goal_5,TeamPlayer6,foreign_6,goal_6,TeamPlayer7,foreign_7,goal_7,TeamPlayer8,foreign_8,goal_8,TeamPlayer9,foreign_9,goal_9,TeamPlayer10,foreign_10,goal_10,TeamPlayer11,foreign_11,goal_11,TeamPlayer12,foreign_12,goal_12,TeamPlayer13,foreign_13,goal_13,TeamPlayer14,foreign_14,goal_14,marcador,winners,losers,tie
10,2012-06-13,Netherlands,1-2,Maarten Stekelenburg,0.0,0.0,Gregory Van Der Wiel,1.0,0.0,John Heitinga,0.0,0.0,Joris Mathijsen,0.0,0.0,Jetro Willems,0.0,0.0,Mark Van Bommel C,0.0,0.0,Rafael Van Der Vaart,0.0,0.0,Nigel De Jong,1.0,0.0,Arjen Robben,0.0,0.0,Dirk Kuijt,0.0,0.0,Wesley Sneijder,0.0,0.0,Ibrahim Afellay,1.0,0.0,Klaasjan Huntelaar,0.0,0.0,Robin Van Persie,1.0,1.0,PERDIO,0.0,1.0,0.0
11,2012-06-13,Portugal,2-3,Rui Patrcio,0.0,0.0,Joo Pereira,1.0,0.0,Kpler Ferreira Pepe,1.0,0.0,Bruno Alves,0.0,0.0,Fbio Coentro,0.0,0.0,Raul Meireles,0.0,0.0,Miguel Veloso,1.0,0.0,Silvestre Varela,1.0,1.0,Joo Moutinho,0.0,0.0,Lus Da Cunha Nani,0.0,0.0,Rolando Da Fonseca,1.0,0.0,Hlder Postiga,0.0,1.0,Nlson Oliveira,0.0,0.0,Cristiano Ronaldo Aveiro C,1.0,0.0,GANO,1.0,0.0,0.0
12,2012-06-12,Czech Republic,1-2,Petr Ech,0.0,0.0,Theodor Gebre Selassie,1.0,0.0,Tom Sivok,0.0,0.0,Michal Kadlec,0.0,0.0,David Limbersk,0.0,0.0,Tom Hbschman,0.0,0.0,Jaroslav Plail,0.0,0.0,Petr Jirek,0.0,1.0,Tom Rosick C,0.0,0.0,Daniel Kol,0.0,0.0,Frantiek Rajtoral,0.0,0.0,Vclav Pila,0.0,1.0,Milan Baro,0.0,0.0,Tom Pekhart,0.0,0.0,GANO,1.0,0.0,0.0
13,2012-06-12,Greece,1-2,Kstas Khalkis,,0.0,Vaslis Torosdhis,,0.0,Kstas Katsournis,,0.0,Kirikos Papadhpoulos,,0.0,Jos Holebas,0.0,0.0,Mikhlis Sifkis,,0.0,Yrghos Karangonis C,,0.0,Yrghos Fotkis,,0.0,Yinnis Manitis,,0.0,Theofnis Gkas,,0.0,Dhimtris Salpingdhis,,0.0,Yrghos Samars,,0.0,Kstas Fortonis,,0.0,Kstas Mtroghlou,,0.0,PERDIO,0.0,1.0,0.0
14,2012-06-12,Russia,1-1,Vyacheslav Malafeyev,0.0,0.0,Aleksandr Anyukov,0.0,0.0,Aleksey Berezutskiy,0.0,0.0,Sergey Ignashevich,0.0,0.0,Yuriy Zhirkov,0.0,0.0,Roman Shirokov,0.0,0.0,Igor Denisov,0.0,0.0,Alan Dzagoyev,1.0,1.0,Konstantin Zyryanov,0.0,0.0,Marat Izmaylov,0.0,0.0,Aleksandr Kerzhakov,0.0,0.0,Roman Pavlyuchenko,0.0,0.0,Andrey Arshavin C,0.0,0.0,,,,EMPATO,0.0,0.0,1.0
15,2012-06-12,Poland,1-1,Przemysaw Tyto,0.0,0.0,Ukasz Piszczek,0.0,0.0,Marcin Wasilewski,0.0,0.0,Damien Perquis,1.0,0.0,Sebastian Boenisch,1.0,0.0,Jakub Baszczykowski C,0.0,1.0,Eugen Polanski,1.0,0.0,Dariusz Dudka,0.0,0.0,Adam Matuszczyk,0.0,0.0,Adrian Mierzejewski,0.0,0.0,Robert Lewandowski,0.0,0.0,Ludovic Obraniak,0.0,0.0,Pawe Broek,0.0,0.0,Rafa Murawski,0.0,0.0,EMPATO,0.0,0.0,1.0
16,2012-06-10,Croatia,1-3,Stipe Pletikosa,0.0,0.0,Darijo Srna C,0.0,0.0,Vedran Orluka,0.0,0.0,Gordon Schildenfeld,0.0,0.0,Ivan Strini,0.0,0.0,Ognjen Vukojevi,1.0,0.0,Ivan Rakiti,0.0,0.0,Tomislav Dujmovi,0.0,0.0,Mario Manduki,0.0,1.0,Ivan Perii,0.0,0.0,Eduardo Da Silva,1.0,0.0,Luka Modri,0.0,0.0,Nikica Jelavi,0.0,1.0,Niko Kranjar,0.0,0.0,GANO,1.0,0.0,0.0
17,2012-06-10,Ireland,1-3,Shay Given,1.0,0.0,John Oshea,1.0,0.0,Richard Dunne,0.0,0.0,Sen St Ledger,1.0,1.0,Stephen Ward,1.0,0.0,Damien Duff,1.0,0.0,Keith Andrews,1.0,0.0,Glenn Whelan,0.0,0.0,Aiden Mcgeady,0.0,0.0,Simon Cox,1.0,0.0,Robbie Keane C,0.0,0.0,Shane Long,1.0,0.0,Kevin Doyle,1.0,0.0,Jon Walters,1.0,0.0,PERDIO,0.0,1.0,0.0
18,2012-06-10,Italy,1-1,Gianluigi Buffon C,0.0,0.0,Leonardo Bonucci,0.0,0.0,Daniele De Rossi,0.0,0.0,Giorgio Chiellini,0.0,0.0,Christian Maggio,0.0,0.0,Claudio Marchisio,0.0,0.0,Andrea Pirlo,0.0,0.0,Thiago Motta,0.0,0.0,Antonio Nocerino,0.0,0.0,Emanuele Giaccherini,0.0,0.0,Antonio Cassano,0.0,0.0,Sebastian Giovinco,0.0,0.0,Antonio Di Natale,0.0,1.0,Mario Balotelli,0.0,0.0,EMPATO,0.0,0.0,1.0
19,2012-06-10,Spain,1-1,Ker Casillas C,1.0,0.0,Lvaro Arbeloa,0.0,0.0,Gerard Piqu,1.0,0.0,Sergio Ramos,1.0,0.0,Jordi Alba,1.0,0.0,Sergio Busquets,1.0,0.0,Xabi Alonso,0.0,0.0,Xavi Hernndez,0.0,0.0,David Jimnez Silva,1.0,0.0,Jess Navas,0.0,0.0,Cesc Fbregas,0.0,1.0,Fernando Torres,1.0,0.0,Andrs Inie,0.0,0.0,,,,EMPATO,0.0,0.0,1.0
20,2012-06-09,Denmark,0-1,Stephan Andersen,0.0,0.0,Lars Jacobsen,0.0,0.0,Simon Kjr,0.0,0.0,Daniel Agger C,0.0,0.0,Simon Poulsen,0.0,0.0,Niki Zimling,0.0,0.0,William Kvist,1.0,0.0,Dennis Rommedahl,0.0,0.0,Tobias Mikkelsen,0.0,0.0,Christian Eriksen,0.0,0.0,Lasse Schne,0.0,0.0,Michael Krohndehli,1.0,1.0,Nicklas Bendtner,0.0,0.0,,,,GANO,1.0,0.0,0.0
21,2012-06-09,Netherlands,0-1,Maarten Stekelenburg,0.0,0.0,Gregory Van Der Wiel,1.0,0.0,Dirk Kuijt,0.0,0.0,John Heitinga,0.0,0.0,Ron Vlaar,0.0,0.0,Jetro Willems,0.0,0.0,Mark Van Bommel C,0.0,0.0,Arjen Robben,0.0,0.0,Nigel De Jong,1.0,0.0,Rafael Van Der Vaart,0.0,0.0,Robin Van Persie,1.0,0.0,Wesley Sneijder,0.0,0.0,Ibrahim Afellay,1.0,0.0,Klaasjan Huntelaar,0.0,0.0,PERDIO,0.0,1.0,0.0
22,2012-06-09,Germany,1-0,Manuel Neuer,0.0,0.0,Jrme Boateng,1.0,0.0,Mats Hummels,0.0,0.0,Holger Badstuber,0.0,0.0,Philipp Lahm C,0.0,0.0,Bastian Schweinsteiger,0.0,0.0,Sami Khedira,1.0,0.0,Thomas Mller,0.0,0.0,Mesut Zil,0.0,0.0,Lukas Podolski,1.0,0.0,Toni Kroos,0.0,0.0,Lars Bender,1.0,0.0,Mario Gmez,1.0,1.0,Miroslav Klose,0.0,0.0,GANO,1.0,0.0,0.0
23,2012-06-09,Portugal,1-0,Rui Patrcio,0.0,0.0,Joo Pereira,1.0,0.0,Kpler Ferreira Pepe,1.0,0.0,Bruno Alves,0.0,0.0,Fbio Coentro,0.0,0.0,Raul Meireles,0.0,0.0,Miguel Veloso,1.0,0.0,Silvestre Varela,1.0,0.0,Joo Moutinho,0.0,0.0,Lus Da Cunha Nani,0.0,0.0,Hlder Postiga,0.0,0.0,Nlson Oliveira,0.0,0.0,Cristiano Ronaldo Aveiro C,1.0,0.0,,,,PERDIO,0.0,1.0,0.0
24,2012-06-08,Russia,4-1,Vyacheslav Malafeyev,0.0,0.0,Aleksandr Anyukov,0.0,0.0,Aleksey Berezutskiy,0.0,0.0,Sergey Ignashevich,0.0,0.0,Yuriy Zhirkov,0.0,0.0,Roman Shirokov,0.0,1.0,Igor Denisov,0.0,0.0,Konstantin Zyryanov,0.0,0.0,Alan Dzagoyev,1.0,1.0,Aleksandr Kokorin,0.0,0.0,Aleksandr Kerzhakov,0.0,0.0,Roman Pavlyuchenko,0.0,1.0,Andrey Arshavin C,0.0,0.0,,,,GANO,1.0,0.0,0.0
25,2012-06-08,Greece,1-1,Kstas Khalkis,,0.0,Vaslis Torosdhis,,0.0,Sokrtis Papastathpoulos,,0.0,Avram Papadhpoulos,,0.0,Kirikos Papadhpoulos,,0.0,Jos Holebas,0.0,0.0,Kstas Katsournis,,0.0,Yrghos Karangonis C,,0.0,Yinnis Manitis,,0.0,Theofnis Gkas,,0.0,Sotris Nnis,,0.0,Dhimtris Salpingdhis,,0.0,Yrghos Samars,,0.0,Kstas Fortonis,,0.0,EMPATO,0.0,0.0,1.0
